Gene Id	Gene Name	Sample_78648	Sample_78650	Sample_78652	Sample_78654	Sample_78647	Sample_78649	Sample_78651	Sample_78653
Hipk1	Hipk1	4219	3678	4115	5108	3242	2942	4251	4389
Hipk2	Hipk2	248	228	239	292	2206	1869	2472	2691
Hipk3	Hipk3	3464.07	2927.29	3431	4061.56	2101	1781	2598	2588
Hipk4	Hipk4	306	237	330	367	71	97	195	153
Hira	Hira	2430	1944	2562	2824	676	471	755	831
Hirip3	Hirip3	1234	1051	1375	1531	403	294	378	362
Hist1h1a	Hist1h1a	0	1	2	1	40	40	31	44
Hist1h1b	Hist1h1b	1	2	2	0	24	11	13	7
Hist1h1c	Hist1h1c	850	830	869	846	283	267	278	271
Hist1h1d	Hist1h1d	6	3	5	2	64	48	58	67
Hist1h1e	Hist1h1e	35.4747	26.0942	42.0986	52.3509	985.889	749.992	783.894	781.818
Hist1h1t	Hist1h1t	0	0	1	0	2	4	0	0
Hist1h2aa	Hist1h2aa	3	0	7	7	1	0	0	1
Hist1h2ab	Hist1h2ab	0	0	0	0	14	8	16	8
Hist1h2ac	Hist1h2ac	30	23	31	30	29	4	12	28
Hist1h2ad	Hist1h2ad	0	0	0	0	0	0	0	0
Hist1h2ae	Hist1h2ae	0	3	2	2	16	14	10	13
Hist1h2af	Hist1h2af	1	0	0	0	1	2	0	0
Hist1h2ag	Hist1h2ag	1	0	0	0	0	0	0	0
Hist1h2ah	Hist1h2ah	0	0	0	0	0	0	0	0
Hist1h2ai	Hist1h2ai	0	0	0	0	10	8	13	18
Hist1h2ak	Hist1h2ak	0	0	0	0	31	17	17	31
Hist1h2an	Hist1h2an	0	0	0	0	0	0	0	0
Hist1h2ao	Hist1h2ao	0	0	0	0	0	0	0	0
Hist1h2ap	Hist1h2ap	0	0	0	0	0	0	0	0
Hist1h2ba	Hist1h2ba	6	12	9	21	0	4	2	0
Hist1h2bb	Hist1h2bb	2	0	6	1	15	13	11	16
Hist1h2bc	Hist1h2bc	589	458	627	618	78	73	56	83
Hist1h2be	Hist1h2be	89.5253	69.9058	79.9014	74.6491	10.1109	6.00804	12.1057	17.1819
Hist1h2bf	Hist1h2bf	0	2	0	0	0	0	8	5
Hist1h2bg	Hist1h2bg	14	6	3	7	8	6	15	10
Hist1h2bh	Hist1h2bh	0	0	0	0	0	0	3	0
Hist1h2bj	Hist1h2bj	2	3	1	0	1	8	0	1
Hist1h2bk	Hist1h2bk	0	0	0	0	0	0	0	0
Hist1h2bl	Hist1h2bl	1	0	0	0	6	0	3	1
Hist1h2bm	Hist1h2bm	2	0	0	1	8	5	0	11
